plant_id,raw_plant_id,canonical_key,canonical_scientific_name,family_name,source_name,source_url,retrieved_at
35b7c4bb-1cc9-593f-b325-1a73b927e4e5,163,gbif:2683217,Cycas revoluta Thunb.,Cycadaceae,KNApSAcK World,https://www.gbif.org/species/2683217,2026-06-02T16:45:51+00:00
b89b9db2-bd4f-597f-aed6-3b7accfe029a,402,gbif:2684855,Platycladus orientalis (L.) Franco,Cupressaceae,KNApSAcK World,https://www.gbif.org/species/2684855,2026-06-02T16:45:52+00:00
d95dc1a7-a51a-5e58-a778-0a4890fc7f2f,239,gbif:2687885,Ginkgo biloba L.,Ginkgoaceae,KNApSAcK World,https://www.gbif.org/species/2687885,2026-06-02T16:45:51+00:00
384a8fa5-2563-55d9-92d8-bf83d7683747,365,gbif:2703459,Oryza sativa L.,Poaceae,KNApSAcK World,https://www.gbif.org/species/2703459,2026-06-02T16:45:52+00:00
4e11acfe-b176-580d-973f-c9d1965471a7,441,gbif:2703912,Saccharum officinarum L.,Poaceae,KNApSAcK World,https://www.gbif.org/species/2703912,2026-06-02T16:45:52+00:00
f0f8b0f9-18fc-5e3d-85c5-8216285aea27,166,gbif:2705267,Cymbopogon nardus (L.) Rendle,Poaceae,KNApSAcK World,https://www.gbif.org/species/2705267,2026-06-02T16:45:51+00:00
bac11d3d-45c1-5f6b-93ee-b5b7d6658bc4,165,gbif:2705275,Cymbopogon citratus (DC.) Stapf,Poaceae,KNApSAcK World,https://www.gbif.org/species/2705275,2026-06-02T16:45:51+00:00
1e1b00de-1138-50ee-bd98-d20ad26bcb0a,141,gbif:2706301,Coix lacryma-jobi L.,Poaceae,KNApSAcK World,https://www.gbif.org/species/2706301,2026-06-02T16:45:51+00:00
6e03fa79-16e8-5066-9e39-8ce174b861b3,168,gbif:2714818,Cyperus rotundus L.,Cyperaceae,KNApSAcK World,https://www.gbif.org/species/2714818,2026-06-02T16:45:51+00:00
c928714c-d471-5533-93b1-1c0f34957757,167,gbif:2715729,Cyperus iria L.,Cyperaceae,KNApSAcK World,https://www.gbif.org/species/2715729,2026-06-02T16:45:51+00:00
3f362466-dfe7-5b86-9cfc-49cf8e0b065b,329,gbif:2733781,Metroxylon sagu Rottb.,Arecaceae,KNApSAcK World,https://www.gbif.org/species/2733781,2026-06-02T16:45:51+00:00
87cd29ae-d99e-541c-a507-8da019a172c2,78,gbif:2733934,Borassus flabellifer L.,Arecaceae,KNApSAcK World,https://www.gbif.org/species/2733934,2026-06-02T16:45:51+00:00
8e4e6851-0342-5695-a2e3-3ee680b9ef18,137,gbif:2735117,Cocos nucifera L.,Arecaceae,KNApSAcK World,https://www.gbif.org/species/2735117,2026-06-02T16:45:51+00:00
1b5fd7ac-4941-56c4-af2f-d6735f37c9e6,47,gbif:2736531,Areca catechu L.,Arecaceae,KNApSAcK World,https://www.gbif.org/species/2736531,2026-06-02T16:45:51+00:00
9f113392-c9da-5edd-af63-a1f323c112e5,241,gbif:2740024,Gloriosa superba L.,Colchicaceae,KNApSAcK World,https://www.gbif.org/species/2740024,2026-06-02T16:45:51+00:00
37f8783d-72d2-5ce3-bca1-091d2c989bed,149,gbif:2747430,Crocus sativus L.,Iridaceae,KNApSAcK World,https://www.gbif.org/species/2747430,2026-06-02T16:45:51+00:00
e4eecaca-2f71-5c22-87d6-b1a4dbfaa645,199,gbif:2749556,Eleutherine bulbosa (Mill.) Urb.,Iridaceae,KNApSAcK World,https://www.gbif.org/species/2749556,2026-06-02T16:45:51+00:00
1ae12ba1-d08e-5629-9c80-09f65b518712,182,gbif:2755784,Dioscorea hispida Dennst.,Dioscoreaceae,KNApSAcK World,https://www.gbif.org/species/2755784,2026-06-02T16:45:51+00:00
3d1bc6a8-1345-590c-bbd6-4306c57beba8,534,gbif:2757108,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757108,2026-06-02T16:45:52+00:00
eeb880ea-6aaa-5182-9d2e-667691adabe1,532,gbif:2757204,Zingiber purpureum Roscoe,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757204,2026-06-02T16:45:52+00:00
6a811452-0eb3-5bdf-8f21-fb79b6b73361,533,gbif:2757280,Zingiber officinale Roscoe,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757280,2026-06-02T16:45:52+00:00
9045151f-c55b-5859-b030-a23b9e4e07d3,162,gbif:2757545,Curcuma zedoaria (Christm.) Roscoe,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757545,2026-06-02T16:45:51+00:00
4817afd9-0ab7-5252-ad35-920771f21a52,161,gbif:2757547,Curcuma zanthorrhiza Roxb.,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757547,2026-06-02T16:45:51+00:00
0de0e5d0-e509-544b-b284-628244ac66dd,156,gbif:2757572,Curcuma heyneana Valeton & Zijp,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757572,2026-06-02T16:45:51+00:00
59015732-a77d-5cb8-9e12-fedf9538b23d,157,gbif:2757624,Curcuma longa L.,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757624,2026-06-02T16:45:51+00:00
76d675cb-5968-5870-ad50-5d7c01adfadb,154,gbif:2757635,Curcuma aeruginosa Roxb.,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757635,2026-06-02T16:45:51+00:00
f3a26e3e-8cf5-52bb-8fb9-74f887a6cd7a,158,gbif:2757639,Curcuma mangga Valeton & Zijp,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2757639,2026-06-02T16:45:51+00:00
01f6e126-03d2-5370-84d4-64f8fcf12f1d,77,gbif:2758480,Boesenbergia rotunda (L.) Mansf.,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2758480,2026-06-02T16:45:51+00:00
d50930be-8d33-56fb-9350-c39eb62194b3,198,gbif:2759871,Elettaria cardamomum (L.) Maton,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/2759871,2026-06-02T16:45:51+00:00
b7c3acc3-f7ce-593a-a0ff-309e34a3b4bd,346,gbif:2762752,Musa × paradisiaca L.,Musaceae,KNApSAcK World,https://www.gbif.org/species/2762752,2026-06-02T16:45:52+00:00
12efbb3b-294b-590a-9a72-6b074dd9cf2e,193,gbif:2765942,Pontederia crassipes Mart.,Pontederiaceae,KNApSAcK World,https://www.gbif.org/species/2765942,2026-06-02T16:45:52+00:00
f9d33b87-1b71-5095-8772-5eca6e3c8715,56,gbif:2768772,Asparagus cochinchinensis (Lour.) Merr.,Asparagaceae,KNApSAcK World,https://www.gbif.org/species/2768772,2026-06-02T16:45:51+00:00
409c5ae5-226b-5cb5-b859-1339e1ebac3e,360,gbif:2774158,Ophiopogon japonicus (Thunb.) Ker Gawl.,Asparagaceae,KNApSAcK World,https://www.gbif.org/species/2774158,2026-06-02T16:45:52+00:00
af283b6d-64da-5b43-8832-6fe17728a4c7,26,gbif:2777724,Aloe vera (L.) Burm.f.,Asphodelaceae,KNApSAcK World,https://www.gbif.org/species/2777724,2026-06-02T16:45:51+00:00
30e55351-849a-53ad-b6f0-be441a42cd1d,518,gbif:2803398,Vanilla planifolia Andrews,Orchidaceae,KNApSAcK World,https://www.gbif.org/species/2803398,2026-06-02T16:45:52+00:00
