input_name,raw_plant_id,canonical_lookup_key,source_row_count,query_status,http_status,error_message,matched_name,accepted_name,authorship,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,family_name,cache_key,cache_path
Capsicum frutescens,97,capsicum frutescens,1,ok,200,,Capsicum frutescens L.,Capsicum frutescens L.,L.,SPECIES,ACCEPTED,EXACT,99,8403992,8403992,8403992,2932937,7717,6,Solanaceae,2ab50f04c2f3e1021fec879b66129418399d11c3b5df4fb56068bc2a356faac8,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\2ab50f04c2f3e1021fec879b66129418399d11c3b5df4fb56068bc2a356faac8.json
Carica papaya,98,carica papaya,1,ok,200,,Carica papaya L.,Carica papaya L.,L.,SPECIES,ACCEPTED,EXACT,100,2874484,2874484,2874484,2874482,6636,6,Caricaceae,3e73791997512cdb25c28dc503f69bfc9055c3613a1caa377d5d152277c0d16a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\3e73791997512cdb25c28dc503f69bfc9055c3613a1caa377d5d152277c0d16a.json
Carthamus tinctorius,99,carthamus tinctorius,1,ok,200,,Carthamus tinctorius L.,Carthamus tinctorius L.,L.,SPECIES,ACCEPTED,EXACT,100,3138327,3138327,3138327,3138214,3065,6,Asteraceae,5b0f292b66cb7a9ce3530495446bc54eaa4b886989791ef2672aad1cb9697158,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5b0f292b66cb7a9ce3530495446bc54eaa4b886989791ef2672aad1cb9697158.json
Cassia alata,100,cassia alata,1,ok,200,,Cassia alata L.,Senna alata (L.) Roxb.,L.,SPECIES,SYNONYM,EXACT,100,5353900,2956947,2956947,2956904,5386,6,Fabaceae,a69fa1180f5e8536c3b2e484d3a2671b4cceed6882c22285b71aaef28afc4862,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a69fa1180f5e8536c3b2e484d3a2671b4cceed6882c22285b71aaef28afc4862.json
Cassia angustifolia,101,cassia angustifolia,1,ok,200,,Cassia angustifolia Vahl,Senna alexandrina var. alexandrina,Vahl,SPECIES,SYNONYM,EXACT,100,5354413,7302622,2958032,2956904,5386,6,Fabaceae,cd3288f9fbf714981fe1d0fb92d4ae0dab38314549b1df458414f58d28ce2f4a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\cd3288f9fbf714981fe1d0fb92d4ae0dab38314549b1df458414f58d28ce2f4a.json
Cassia fistula,102,cassia fistula,1,ok,200,,Cassia fistula L.,Cassia fistula L.,L.,SPECIES,ACCEPTED,EXACT,99,5357108,5357108,5357108,2963414,5386,6,Fabaceae,779511ca27950151e8c4f45cbc58e29ba4ca6e7296e4d12196bf7deb6716f46c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\779511ca27950151e8c4f45cbc58e29ba4ca6e7296e4d12196bf7deb6716f46c.json
Cassia javanica,103,cassia javanica,1,ok,200,,Cassia javanica L.,Cassia javanica L.,L.,SPECIES,ACCEPTED,EXACT,99,5357125,5357125,5357125,2963414,5386,6,Fabaceae,ed931c949b8a4ad3ac020691b658eabf912af1faf51e2ae55b4c7ebdbf709d38,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\ed931c949b8a4ad3ac020691b658eabf912af1faf51e2ae55b4c7ebdbf709d38.json
Cassia occidentalis,104,cassia occidentalis,1,ok,200,,Cassia occidentalis L.,Senna occidentalis (L.) Link,L.,SPECIES,SYNONYM,EXACT,99,5354381,2957966,2957966,2956904,5386,6,Fabaceae,042f9e6edfa237d97c3fb5ab9417ead103c0e443fe6bcf4670f567c004b6993e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\042f9e6edfa237d97c3fb5ab9417ead103c0e443fe6bcf4670f567c004b6993e.json
Cassia senna,105,cassia senna,1,ok,200,,Cassia senna L.,Senna alexandrina Mill.,L.,SPECIES,SYNONYM,EXACT,100,5354411,2958032,2958032,2956904,5386,6,Fabaceae,cb5ef787e16d5176c3fc619b67e2e591188076115ac4071cb18cc9f8de03837e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\cb5ef787e16d5176c3fc619b67e2e591188076115ac4071cb18cc9f8de03837e.json
Cassia siamea,106,cassia siamea,1,ok,200,,Cassia siamea Lam.,Senna siamea (Lam.) H.S.Irwin & Barneby,Lam.,SPECIES,SYNONYM,EXACT,100,5353880,2956905,2956905,2956904,5386,6,Fabaceae,8f8fe11148783abdeb2fd8eb3a0fe4a5394d1aca25322231990808d8b2edd256,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8f8fe11148783abdeb2fd8eb3a0fe4a5394d1aca25322231990808d8b2edd256.json
Cassia tora,107,cassia tora,1,ok,200,,Cassia tora L.,Senna tora (L.) Roxb.,L.,SPECIES,SYNONYM,EXACT,100,5354127,2957728,2957728,2956904,5386,6,Fabaceae,f7063c4e373341f10623b59555b8737f01d5d4a2ba307afa99fdca096cdef8fa,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f7063c4e373341f10623b59555b8737f01d5d4a2ba307afa99fdca096cdef8fa.json
Cassytha filiformis,108,cassytha filiformis,1,ok,200,,Cassytha filiformis L.,Cassytha filiformis L.,L.,SPECIES,ACCEPTED,EXACT,99,3033999,3033999,3033999,3033998,6688,6,Lauraceae,211fbb43f88db278151fe8aed64457ae199cf6a6af4cf639eec9566d3521f65c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\211fbb43f88db278151fe8aed64457ae199cf6a6af4cf639eec9566d3521f65c.json
Casuarina equisetifolia,109,casuarina equisetifolia,1,ok,200,,Casuarina equisetifolia L.,Casuarina equisetifolia L.,L.,SPECIES,ACCEPTED,EXACT,99,2891930,2891930,2891930,2891925,5352,6,Casuarinaceae,3ef1702c6dbf326ff1a8393d32978bd4dbd95fc77f18f29c1ed4d4cb8373a24b,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\3ef1702c6dbf326ff1a8393d32978bd4dbd95fc77f18f29c1ed4d4cb8373a24b.json
Catharanthus roseus,110,catharanthus roseus,1,ok,200,,Catharanthus roseus (L.) G.Don,Catharanthus roseus (L.) G.Don,(L.) G.Don,SPECIES,ACCEPTED,EXACT,100,3169830,3169830,3169830,3169829,6701,6,Apocynaceae,3101bfc65b9288516489936104d4b25b2604412746c8faa46d28ca80b2f47562,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\3101bfc65b9288516489936104d4b25b2604412746c8faa46d28ca80b2f47562.json
Ceiba pentandra,111,ceiba pentandra,1,ok,200,,Ceiba pentandra (L.) Gaertn.,Ceiba pentandra (L.) Gaertn.,(L.) Gaertn.,SPECIES,ACCEPTED,EXACT,99,5406697,5406697,5406697,3152218,6685,6,Malvaceae,0bcf0875c33e53b532291dd9afccb093078883ba38ed866c1a98b88d2652f2e6,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\0bcf0875c33e53b532291dd9afccb093078883ba38ed866c1a98b88d2652f2e6.json
Celosia argentea,112,celosia argentea,1,ok,200,,Celosia argentea L.,Celosia argentea L.,L.,SPECIES,ACCEPTED,EXACT,100,3085191,3085191,3085191,3085190,3064,6,Amaranthaceae,4f34542edfc624ff0ad767cdb46ec08963a8b0dc757da7a309e991c03ad9aa9d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\4f34542edfc624ff0ad767cdb46ec08963a8b0dc757da7a309e991c03ad9aa9d.json
Celosia cristata,113,celosia cristata,1,ok,200,,Celosia cristata L.,Celosia argentea f. cristata (L.) Schinz,L.,SPECIES,SYNONYM,EXACT,100,3085196,6429520,3085191,3085190,3064,6,Amaranthaceae,f8664484d67e72fe8e61e8803e11da63b8fb529d9212ed0929f8f8f22fdaffb1,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f8664484d67e72fe8e61e8803e11da63b8fb529d9212ed0929f8f8f22fdaffb1.json
Centella asiatica,114,centella asiatica,1,ok,200,,Centella asiatica (L.) Urb.,Centella asiatica (L.) Urb.,(L.) Urb.,SPECIES,ACCEPTED,EXACT,100,3034128,3034128,3034128,3034124,6720,6,Apiaceae,8f0e29fd6be1c16c6ba6c12cb03aa6f083f068adaf223f090e78e59d611e3438,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8f0e29fd6be1c16c6ba6c12cb03aa6f083f068adaf223f090e78e59d611e3438.json
Cephaelis ipecacuanha,115,cephaelis ipecacuanha,1,ok,200,,Cephaelis ipecacuanha (Brot.) A.Rich.,Carapichea ipecacuanha (Brot.) L.Andersson,(Brot.) A.Rich.,SPECIES,SYNONYM,EXACT,99,2921353,2921359,2921359,2898583,8798,6,Rubiaceae,6da65782e0899feb6f91ced9a88a0f7cb9eb344167e1f2fadda7f61697879103,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\6da65782e0899feb6f91ced9a88a0f7cb9eb344167e1f2fadda7f61697879103.json
Cerbera manghas,116,cerbera manghas,1,ok,200,,Cerbera manghas L.,Cerbera manghas L.,L.,SPECIES,ACCEPTED,EXACT,100,7155766,7155766,7155766,3169757,6701,6,Apocynaceae,964edd5d6f0dfba75ff51970feb11e271df21eeb1419440987bf44b186c6ca4a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\964edd5d6f0dfba75ff51970feb11e271df21eeb1419440987bf44b186c6ca4a.json
Cibotium barometz,117,cibotium barometz,1,ok,200,,Cibotium barometz (L.) J.Sm.,Cibotium barometz (L.) J.Sm.,(L.) J.Sm.,SPECIES,ACCEPTED,EXACT,100,4195539,4195539,4195539,2650328,4262049,6,Cibotiaceae,ac128b2658a366f12fc3d45e7060501a5184b8b64f8234c650dda47ff03d17bc,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\ac128b2658a366f12fc3d45e7060501a5184b8b64f8234c650dda47ff03d17bc.json
Cinnamomum burmannii,118,cinnamomum burmannii,1,ok,200,,Cinnamomum burmanni (Nees & T.Nees) Blume,Cinnamomum burmanni (Nees & T.Nees) Blume,(Nees & T.Nees) Blume,SPECIES,ACCEPTED,VARIANT,98,3033985,3033985,3033985,3033980,6688,6,Lauraceae,f6a90f4cb157d2822948efce9387f16fa9ea5effba41f70efb7d5bf524de9c04,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f6a90f4cb157d2822948efce9387f16fa9ea5effba41f70efb7d5bf524de9c04.json
