alias_id,plant_id,alias_name,alias_key,alias_type,retrieved_at
4d4fd6e2-5320-5377-8c10-58ce5728e1d1,597cf274-1fec-5e5e-b246-f6dac07ff42c,Punica granatum L.,punica_granatum_l,normalized_variant,2026-06-02T16:45:52+00:00
ba4c94f5-7344-5a1d-8a3a-3aa7cd48cfe8,598ec78f-d280-5fcc-b8bb-c2acc0957374,Allium cepa L.,allium_cepa_l,normalized_variant,2026-06-02T16:45:51+00:00
d3862fa5-2f4e-51d6-aeba-177a88df31d7,5a3930a7-ae33-584f-af26-62dca7e0cbc4,Rauvolfia sumatrana Jack,rauvolfia_sumatrana_jack,normalized_variant,2026-06-02T16:45:52+00:00
da3871f5-66cb-5392-86b1-4c5cd7d3fc29,5aa6f8c5-c5f3-5854-a460-9f5272cf71bf,Anacardium occidentale L.,anacardium_occidentale_l,normalized_variant,2026-06-02T16:45:51+00:00
453bebf5-66af-5646-bc67-16293429050b,5c16f5bb-04f9-5b3f-86e7-d8ebc29a98f6,Curcuma xanthorrhiza D.Dietr.,curcuma_xanthorrhiza_d_dietr,normalized_variant,2026-06-02T16:45:51+00:00
acb18f35-26af-5040-98b1-58b96e685f92,5c8a5aab-e1e3-5032-a898-c4fa1d924427,Rumex nepalensis Spreng.,rumex_nepalensis_spreng,normalized_variant,2026-06-02T16:45:52+00:00
511de3ac-c6ac-57f2-ae09-f73167b0137b,5c9f1cc4-c8de-5a0f-8e07-5352e809cb44,Litsea glutinosa (Lour.) C.B.Rob.,litsea_glutinosa_lour_c_b_rob,normalized_variant,2026-06-02T16:45:51+00:00
b6aa3307-9ba9-52b5-8480-136cc1350361,5d2b2b62-753a-541f-b4c1-5a326efe466b,Mikania micrantha Kunth,mikania_micrantha_kunth,normalized_variant,2026-06-02T16:45:51+00:00
5794e8f9-4be2-5ac5-b12c-8b1d78a6c7fc,5d414b86-69c4-514b-8352-d224a773e57c,Strychnos lucida R.Br.,strychnos_lucida_r_br,normalized_variant,2026-06-02T16:45:52+00:00
48df6fe7-f836-5a00-984c-503e3b2355fe,5d67c795-3425-54f6-8891-7a33c0cb7db5,Mallotus philippensis (Lam.) Müll.Arg.,mallotus_philippensis_lam_m_ll_arg,normalized_variant,2026-06-02T16:45:51+00:00
0116724e-876d-525c-bec6-a68fc88a5038,5eb02004-fb3d-5f01-bf78-7973d0270dc3,Heliotropium indicum L.,heliotropium_indicum_l,normalized_variant,2026-06-02T16:45:51+00:00
08a76a90-8603-5d59-9b5e-b3c832a41511,5f7a5eb0-dcad-5888-b76a-028366a7ef50,Basella alba L.,basella_alba_l,normalized_variant,2026-06-02T16:45:51+00:00
542dceb0-e226-5d98-9eab-2a2789ea9aa5,5f7a5eb0-dcad-5888-b76a-028366a7ef50,Basella rubra L.,basella_rubra_l,synonym_variant,2026-06-02T16:45:51+00:00
25188145-ce20-5903-a502-b8f866c13027,5fabf325-0264-5d5d-98e7-cc5e7da0aae3,Taraxacum officinale Weber ex F.H.Wigg.,taraxacum_officinale_weber_ex_f_h_wigg,normalized_variant,2026-06-02T16:45:52+00:00
219521be-2f8f-597a-b9b8-5a11db49ce05,5fe22218-bb94-5a44-ab78-0c539e0db194,Elateriospermum tapos Blume,elateriospermum_tapos_blume,normalized_variant,2026-06-02T16:45:51+00:00
