decision,decision_reason,source_name,canonical_scientific_name,authorship,input_name,canonical_lookup_key,source_row_count,query_status,http_status,matched_name,accepted_name,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,cache_key,cache_path
accepted,Manually verified species-level match after review.,KNApSAcK World,Desmodium triflorum (L.) DC.,(L.) DC.,Desmodium triflorum,desmodium triflorum,1,ok,200,Desmodium triflorum (L.) DC.,Grona triflora (L.) H.Ohashi & K.Ohashi,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2967163,2967163,10833216,9615544,5386,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Elaeocarpus ganitrus Roxb.,Roxb.,Elaeocarpus ganitrus,elaeocarpus ganitrus,1,ok,200,Elaeocarpus ganitrus Roxb.,Elaeocarpus sphaericus (Gaertn.) Ettingsh.,SPECIES,SYNONYM,MANUAL,100,4031193,4031193,10988361,3152094,2435,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Hedyotis corymbosa (L.) Lam.,(L.) Lam.,Hedyotis corymbosa,hedyotis corymbosa,1,ok,200,Hedyotis corymbosa (L.) Lam.,Oldenlandia corymbosa L.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2912014,2912014,2911970,2915706,8798,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Ipomoea reptans Poir.,Poir.,Ipomoea reptans,ipomoea reptans,1,ok,200,Ipomoea reptans Poir.,Ipomoea aquatica Forssk.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,4925685,4925685,2928525,2928509,2389,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Kyllinga brevifolia Rottb.,Rottb.,Kyllinga brevifolia,kyllinga brevifolia,1,ok,200,Kyllinga brevifolia Rottb.,Cyperus brevifolius (Rottb.) Hassk.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2718737,2718737,2718767,2713455,7708,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Laurentia longiflora (L.) Peterm.,(L.) Peterm.,Laurentia longiflora,laurentia longiflora,1,ok,200,Laurentia longiflora (L.) Peterm.,Hippobroma longiflora (L.) G.Don,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5414185,5414185,3168943,3168942,8801,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Luffa cylindrica (L.) M.Roem.,(L.) M.Roem.,Luffa cylindrica,luffa cylindrica,1,ok,200,Luffa cylindrica (L.) M.Roem.,Luffa aegyptiaca Mill.,SPECIES,PROPARTE_SYNONYM,MANUAL,100,12387721,12387721,2874599,2874598,6634,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,"Orthosiphon spicatus (Thunb.) Backer, Bakh.f. & Steenis","(Thunb.) Backer, Bakh.f. & Steenis",Orthosiphon spicatus,orthosiphon spicatus,1,ok,200,"Orthosiphon spicatus (Thunb.) Backer, Bakh.f. & Steenis",Orthosiphon aristatus var. aristatus,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,3891892,3891892,7308026,6410205,2497,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Phaseolus radiatus L.,L.,Phaseolus radiatus,phaseolus radiatus,1,ok,200,Phaseolus radiatus L.,Vigna radiata (L.) R.Wilczek,SPECIES,SYNONYM,MANUAL,100,7895892,7895892,2982380,2982372,5386,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Piper methysticum G.Forst.,G.Forst.,Piper methysticum,piper methysticum,1,ok,200,Piper methysticum G.Forst.,Macropiper methysticum (G.Forst.) Hook. & Arn.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,3086358,3086358,4186474,7305061,6678,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Pyrus malus L.,L.,Pyrus malus,pyrus malus,1,ok,200,Pyrus malus L.,Malus domestica (Suckow) Borkh.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,5362336,5362336,3001244,3001068,5015,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Quisqualis indica L.,L.,Quisqualis indica,quisqualis indica,1,ok,200,Quisqualis indica L.,Combretum indicum (L.) De Filipps,SPECIES,SYNONYM,MANUAL,100,5421048,5421048,12203608,2986357,2431,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Strychnos ligustrina Blume,Blume,Rauwolfia serpentina,rauwolfia serpentina,1,ok,200,Strychnos ligustrina Blume,Strychnos lucida R.Br.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,8381474,8381474,5645531,3169589,2502,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Solanum indicum L.,L.,Solanum indicum,solanum indicum,1,ok,200,Solanum indicum L.,Solanum violaceum Ortega,SPECIES,SYNONYM,MANUAL,100,2930111,2930111,2929848,2928997,7717,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Strychnos ligustrina Blume,Blume,Strychnos ligustrina,strychnos ligustrina,1,ok,200,Strychnos ligustrina Blume,Strychnos lucida R.Br.,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,8381474,8381474,5645531,3169589,2502,6,manual_override,manual
accepted,Manually verified species-level match after review.,KNApSAcK World,Zingiber aromaticum Valeton,Valeton,Zingiber aromaticum,zingiber aromaticum,1,ok,200,Zingiber aromaticum Valeton,Zingiber zerumbet subsp. zerumbet,SPECIES,HETEROTYPIC_SYNONYM,MANUAL,100,2757132,2757132,2757108,2756693,4687,6,manual_override,manual
