plant_id,raw_plant_id,canonical_key,canonical_scientific_name,authorship,family_name,taxonomic_status,rank,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,source_name,source_url,retrieved_at
e10b66d9-86ce-5518-aaa2-6c822b89ac70,469,gbif:3105813,Sonchus arvensis L.,L.,Asteraceae,ACCEPTED,SPECIES,3105813,3105813,3105813,3105646,3065,6,KNApSAcK World,https://www.gbif.org/species/3105813,2026-06-02T14:44:01+00:00
7cdd19c7-1dd8-59ef-a038-f1f1ff6f5e06,535,gbif:3111754,Zinnia elegans Jacq.,Jacq.,Asteraceae,ACCEPTED,SPECIES,3111754,3111754,3111754,3111750,3065,6,KNApSAcK World,https://www.gbif.org/species/3111754,2026-06-02T14:44:01+00:00
1284cd35-3323-5d6c-a448-3164847fc7b5,49,gbif:3120942,Artemisia cina O.C.Berg & Schmidt,O.C.Berg & Schmidt,Asteraceae,ACCEPTED,SPECIES,3120942,3120942,3120942,3120641,3065,6,KNApSAcK World,https://www.gbif.org/species/3120942,2026-06-02T14:44:00+00:00
05eb3d4c-41fd-573b-b118-1aebf42d6303,51,gbif:3120946,Artemisia vulgaris L.,L.,Asteraceae,ACCEPTED,SPECIES,3120946,3120946,3120946,3120641,3065,6,KNApSAcK World,https://www.gbif.org/species/3120946,2026-06-02T14:44:00+00:00
cdf464f9-5873-571c-8320-913fbea42519,50,gbif:3121137,Artemisia lactiflora Wall. ex DC.,Wall. ex DC.,Asteraceae,ACCEPTED,SPECIES,3121137,3121137,3121137,3120641,3065,6,KNApSAcK World,https://www.gbif.org/species/3121137,2026-06-02T14:44:00+00:00
26cff3ce-c413-5a62-9884-dcc59e0d3f8e,404,gbif:3132728,Pluchea indica (L.) Less.,(L.) Less.,Asteraceae,ACCEPTED,SPECIES,3132728,3132728,3132728,3132596,3065,6,KNApSAcK World,https://www.gbif.org/species/3132728,2026-06-02T14:44:01+00:00
c76ae9b4-c2de-5883-9293-15f5db2744a7,99,gbif:3138327,Carthamus tinctorius L.,L.,Asteraceae,ACCEPTED,SPECIES,3138327,3138327,3138327,3138214,3065,6,KNApSAcK World,https://www.gbif.org/species/3138327,2026-06-02T14:44:00+00:00
b129d6bc-81bd-5af4-9355-122b4cc9158e,251,gbif:3139807,Gynura japonica (Thunb.) Juel,(Lour.) Merr.,Asteraceae,SYNONYM,SPECIES,3139809,3139807,3139807,3139806,3065,6,KNApSAcK World,https://www.gbif.org/species/3139807,2026-06-02T14:44:01+00:00
74f37006-adf8-5307-8e65-834602250a2b,296,gbif:3140510,Lactuca indica L.,L.,Asteraceae,ACCEPTED,SPECIES,3140510,3140510,3140510,3140231,3065,6,KNApSAcK World,https://www.gbif.org/species/3140510,2026-06-02T14:44:01+00:00
210454fe-79b0-5771-b056-96a7bdcaeecb,215,gbif:3142644,Ayapana triplinervis (Vahl) R.M.King & H.Rob.,Vahl,Asteraceae,SYNONYM,SPECIES,5402967,3142644,3142644,3126519,3065,6,KNApSAcK World,https://www.gbif.org/species/3142644,2026-06-02T14:44:00+00:00
40c99cba-3dd7-5394-a0cb-7d64d74b3249,204,gbif:3146683,Erigeron sumatrensis Retz.,Retz.,Asteraceae,ACCEPTED,SPECIES,3146683,3146683,3146683,3146588,3065,6,KNApSAcK World,https://www.gbif.org/species/3146683,2026-06-02T14:44:01+00:00
e46de574-b105-5cbd-aaa5-038b9a4ea3b4,510,gbif:3149462,Tridax procumbens L.,L.,Asteraceae,ACCEPTED,SPECIES,3149462,3149462,3149462,3149429,3065,6,KNApSAcK World,https://www.gbif.org/species/3149462,2026-06-02T14:44:01+00:00
09aafced-6936-5299-a535-62d23edad055,189,gbif:3150935,Echinacea purpurea (L.) Moench,(L.) Moench,Asteraceae,ACCEPTED,SPECIES,3150935,3150935,3150935,3150914,3065,6,KNApSAcK World,https://www.gbif.org/species/3150935,2026-06-02T14:44:01+00:00
acdb42a9-0e68-5041-8fd3-e292abf7654c,325,gbif:3152125,Melochia corchorifolia L.,L.,Malvaceae,ACCEPTED,SPECIES,3152125,3152125,3152125,3152114,6685,6,KNApSAcK World,https://www.gbif.org/species/3152125,2026-06-02T14:44:01+00:00
6f4f9e7e-24cb-5095-9378-79f2a270e8c2,249,gbif:3152195,Guazuma ulmifolia Lam.,Lam.,Malvaceae,ACCEPTED,SPECIES,3152195,3152195,3152195,3152194,6685,6,KNApSAcK World,https://www.gbif.org/species/3152195,2026-06-02T14:44:01+00:00
8619da7b-e7a2-581d-87f5-91a04ad2a5ea,187,gbif:3152230,Durio zibethinus Murray,Murray,Malvaceae,ACCEPTED,SPECIES,3152230,3152230,3152230,3152229,6685,6,KNApSAcK World,https://www.gbif.org/species/3152230,2026-06-02T14:44:01+00:00
1af125da-671a-5be8-90a7-62ed68844d69,516,gbif:3152253,Urena lobata L.,L.,Malvaceae,ACCEPTED,SPECIES,3152253,3152253,3152253,3152250,6685,6,KNApSAcK World,https://www.gbif.org/species/3152253,2026-06-02T14:44:01+00:00
c0c1e6e4-9495-5d5f-bcda-b643b048c5a2,259,gbif:3152555,Hibiscus mutabilis L.,L.,Malvaceae,ACCEPTED,SPECIES,3152555,3152555,3152555,3152542,6685,6,KNApSAcK World,https://www.gbif.org/species/3152555,2026-06-02T14:44:01+00:00
e3a656be-2df9-5711-bd5b-5df103800e84,260,gbif:3152559,Hibiscus rosa-sinensis L.,L.,Malvaceae,ACCEPTED,SPECIES,3152559,3152559,3152559,3152542,6685,6,KNApSAcK World,https://www.gbif.org/species/3152559,2026-06-02T14:44:01+00:00
ee58b85b-9803-5888-a95d-b826f6e063c1,261,gbif:3152582,Hibiscus sabdariffa L.,L.,Malvaceae,ACCEPTED,SPECIES,3152582,3152582,3152582,3152542,6685,6,KNApSAcK World,https://www.gbif.org/species/3152582,2026-06-02T14:44:01+00:00
9674dd5e-2438-56d0-b94d-eeac8311aecc,5,gbif:3152634,Abutilon indicum (L.) Sweet,(L.) Sweet,Malvaceae,ACCEPTED,SPECIES,3152634,3152634,3152634,3152599,6685,6,KNApSAcK World,https://www.gbif.org/species/3152634,2026-06-02T14:44:00+00:00
1b485499-c7c1-5c44-9b4a-6032715e827f,248,gbif:3152658,Gossypium herbaceum L.,L.,Malvaceae,ACCEPTED,SPECIES,3152658,3152658,3152658,3152652,6685,6,KNApSAcK World,https://www.gbif.org/species/3152658,2026-06-02T14:44:01+00:00
6f8e4fe7-5fe6-5f20-a6b5-11d27f3bdb1b,1,gbif:3152706,Abelmoschus manihot (L.) Medik.,(L.) Medik.,Malvaceae,ACCEPTED,SPECIES,3152706,3152706,3152706,3152705,6685,6,KNApSAcK World,https://www.gbif.org/species/3152706,2026-06-02T14:44:00+00:00
f4b81201-b781-50fb-b2ab-9be58e892f39,331,gbif:3153099,Magnolia champaca (L.) Baill. ex Pierre,L.,Magnoliaceae,SYNONYM,SPECIES,5939079,3153099,3153099,2888195,4690,6,KNApSAcK World,https://www.gbif.org/species/3153099,2026-06-02T14:44:01+00:00
