canonical_key,ensembl_id,gene_symbol,approved_name,uniprot_accession,uniprot_source,organism_tax_id
uniprot:P38936,ENSG00000124762,CDKN1A,cyclin dependent kinase inhibitor 1a,P38936,uniprot_swissprot,9606
uniprot:Q06945,ENSG00000124766,SOX4,sry-box transcription factor 4,Q06945,uniprot_swissprot,9606
uniprot:Q04760,ENSG00000124767,GLO1,glyoxalase i,Q04760,uniprot_swissprot,9606
uniprot:Q96T54,ENSG00000124780,KCNK17,potassium two pore domain channel subfamily k member 17,Q96T54,uniprot_swissprot,9606
uniprot:Q92766,ENSG00000124782,RREB1,ras responsive element binding protein 1,Q92766,uniprot_swissprot,9606
uniprot:P43307,ENSG00000124783,SSR1,signal sequence receptor subunit 1,P43307,uniprot_swissprot,9606
uniprot:Q9NPD7,ENSG00000124785,NRN1,neuritin 1,Q9NPD7,uniprot_swissprot,9606
uniprot:P54253,ENSG00000124788,ATXN1,ataxin 1,P54253,uniprot_swissprot,9606
uniprot:P35659,ENSG00000124795,DEK,dek proto-oncogene,P35659,uniprot_swissprot,9606
uniprot:Q13950,ENSG00000124813,RUNX2,runx family transcription factor 2,Q13950,uniprot_swissprot,9606
uniprot:O75603,ENSG00000124827,GCM2,gcm transcription factor 2,O75603,uniprot_swissprot,9606
uniprot:O14944,ENSG00000124882,EREG,epiregulin,O14944,uniprot_swissprot,9606
uniprot:Q9Y2G1,ENSG00000124920,MYRF,myelin regulatory factor,Q9Y2G1,uniprot_swissprot,9606
uniprot:P04628,ENSG00000125084,WNT1,wnt family member 1,P04628,uniprot_swissprot,9606
uniprot:P02795,ENSG00000125148,MT2A,metallothionein 2a,P02795,uniprot_swissprot,9606
uniprot:P00505,ENSG00000125166,GOT2,glutamic-oxaloacetic transaminase 2,P00505,uniprot_swissprot,9606
uniprot:Q8TEW6,ENSG00000125170,DOK4,docking protein 4,Q8TEW6,uniprot_swissprot,9606
uniprot:Q96J94,ENSG00000125207,PIWIL1,piwi like rna-mediated gene silencing 1,Q96J94,uniprot_swissprot,9606
uniprot:Q14330,ENSG00000125245,GPR18,g protein-coupled receptor 18,Q14330,uniprot_swissprot,9606
uniprot:Q12908,ENSG00000125255,SLC10A2,solute carrier family 10 member 2,Q12908,uniprot_swissprot,9606
uniprot:P52799,ENSG00000125266,EFNB2,ephrin b2,P52799,uniprot_swissprot,9606
uniprot:Q9Y651,ENSG00000125285,SOX21,sry-box transcription factor 21,Q9Y651,uniprot_swissprot,9606
uniprot:Q99805,ENSG00000125304,TM9SF2,transmembrane 9 superfamily member 2,Q99805,uniprot_swissprot,9606
uniprot:Q9UIL4,ENSG00000125337,KIF25,kinesin family member 25,Q9UIL4,uniprot_swissprot,9606
uniprot:P10914,ENSG00000125347,IRF1,interferon regulatory factor 1,P10914,uniprot_swissprot,9606
uniprot:Q14141,ENSG00000125354,SEPTIN6,septin 6,Q14141,uniprot_swissprot,9606
uniprot:O15239,ENSG00000125356,NDUFA1,nadh:ubiquinone oxidoreductase subunit a1,O15239,uniprot_swissprot,9606
uniprot:P12644,ENSG00000125378,BMP4,bone morphogenetic protein 4,P12644,uniprot_swissprot,9606
uniprot:P43116,ENSG00000125384,PTGER2,prostaglandin e receptor 2,P43116,uniprot_swissprot,9606
uniprot:P78312,ENSG00000125386,FAM193A,family with sequence similarity 193 member a,P78312,uniprot_swissprot,9606
uniprot:P32298,ENSG00000125388,GRK4,g protein-coupled receptor kinase 4,P32298,uniprot_swissprot,9606
uniprot:P48436,ENSG00000125398,SOX9,sry-box transcription factor 9,P48436,uniprot_swissprot,9606
uniprot:Q9Y2R9,ENSG00000125445,MRPS7,mitochondrial ribosomal protein s7,Q9Y2R9,uniprot_swissprot,9606
uniprot:Q8TCD5,ENSG00000125458,NT5C,"5', 3'-nucleotidase, cytosolic",Q8TCD5,uniprot_swissprot,9606
uniprot:Q9UKN8,ENSG00000125484,GTF3C4,general transcription factor iiic subunit 4,Q9UKN8,uniprot_swissprot,9606
uniprot:Q9BZE3,ENSG00000125492,BARHL1,barh like homeobox 1,Q9BZE3,uniprot_swissprot,9606
uniprot:Q96N66,ENSG00000125505,MBOAT7,membrane bound acylglycerophosphatidylinositol o-acyltransferase mboat7,Q96N66,uniprot_swissprot,9606
uniprot:Q9H3Y6,ENSG00000125508,SRMS,src-related kinase lacking c-terminal regulatory tyrosine and n-terminal myristylation sites,Q9H3Y6,uniprot_swissprot,9606
uniprot:P41146,ENSG00000125510,OPRL1,opioid related nociceptin receptor 1,P41146,uniprot_swissprot,9606
uniprot:Q9NR83,ENSG00000125520,SLC2A4RG,slc2a4 regulator,Q9NR83,uniprot_swissprot,9606
uniprot:P01584,ENSG00000125538,IL1B,interleukin 1 beta,P01584,uniprot_swissprot,9606
uniprot:Q9NZH6,ENSG00000125571,IL37,interleukin 37,Q9NZH6,uniprot_swissprot,9606
uniprot:Q9BSY4,ENSG00000125611,CHCHD5,coiled-coil-helix-coiled-coil-helix domain containing 5,Q9BSY4,uniprot_swissprot,9606
uniprot:Q06710,ENSG00000125618,PAX8,paired box 8,Q06710,uniprot_swissprot,9606
uniprot:Q9H9Y6,ENSG00000125630,POLR1B,rna polymerase i subunit b,Q9H9Y6,uniprot_swissprot,9606
uniprot:Q8NDX1,ENSG00000125637,PSD4,pleckstrin and sec7 domain containing 4,Q8NDX1,uniprot_swissprot,9606
uniprot:P42263,ENSG00000125675,GRIA3,glutamate ionotropic receptor ampa type subunit 3,P42263,uniprot_swissprot,9606
uniprot:Q8NI27,ENSG00000125676,THOC2,tho complex subunit 2,Q8NI27,uniprot_swissprot,9606
uniprot:Q15648,ENSG00000125686,MED1,mediator complex subunit 1,Q15648,uniprot_swissprot,9606
uniprot:P62829,ENSG00000125691,RPL23,ribosomal protein l23,P62829,uniprot_swissprot,9606
uniprot:P01024,ENSG00000125730,C3,complement c3,P01024,uniprot_swissprot,9606
uniprot:O43557,ENSG00000125735,TNFSF14,tnf superfamily member 14,O43557,uniprot_swissprot,9606
uniprot:Q9H6K4,ENSG00000125741,OPA3,outer mitochondrial membrane lipid metabolism regulator opa3,Q9H6K4,uniprot_swissprot,9606
uniprot:P62316,ENSG00000125743,SNRPD2,small nuclear ribonucleoprotein d2 polypeptide,P62316,uniprot_swissprot,9606
uniprot:O95834,ENSG00000125746,EML2,emap like 2,O95834,uniprot_swissprot,9606
uniprot:P50552,ENSG00000125753,VASP,vasodilator stimulated phosphoprotein,P50552,uniprot_swissprot,9606
uniprot:Q92797,ENSG00000125755,SYMPK,symplekin scaffold protein,Q92797,uniprot_swissprot,9606
uniprot:Q9Y261,ENSG00000125798,FOXA2,forkhead box a2,Q9Y261,uniprot_swissprot,9606
uniprot:O95096,ENSG00000125820,NKX2-2,nk2 homeobox 2,O95096,uniprot_swissprot,9606
uniprot:Q9BYM8,ENSG00000125826,RBCK1,ranbp2-type and c3hc4-type zinc finger containing 1,Q9BYM8,uniprot_swissprot,9606
uniprot:Q8TDR2,ENSG00000125834,STK35,serine/threonine kinase 35,Q8TDR2,uniprot_swissprot,9606
uniprot:Q9P2E9,ENSG00000125844,RRBP1,ribosome binding protein 1,Q9P2E9,uniprot_swissprot,9606
uniprot:P12643,ENSG00000125845,BMP2,bone morphogenetic protein 2,P12643,uniprot_swissprot,9606
uniprot:Q9BRP0,ENSG00000125850,OVOL2,ovo like zinc finger 2,Q9BRP0,uniprot_swissprot,9606
uniprot:P16519,ENSG00000125851,PCSK2,proprotein convertase subtilisin/kexin type 2,P16519,uniprot_swissprot,9606
uniprot:P60981,ENSG00000125868,DSTN,"destrin, actin depolymerizing factor",P60981,uniprot_swissprot,9606
