alias_id,plant_id,alias_name,alias_key,alias_type,source_name,source_url,source_batch_id,retrieved_at
al_85acc228eb78086ed9b2ee12,pl_47a2413f6382829f1fd8b5e8,Physalis angulata L.,physalis angulata l,normalized_variant,KNApSAcK World,,,
al_8c80d92ce40c7bd97b150f56,pl_47a2413f6382829f1fd8b5e8,Physalis minima L.,physalis minima l,synonym_variant,KNApSAcK World,,,
al_79cef3eeb2f2b080aba6ddb3,pl_47ab24eb2755ca8c6aabfc4e,Imperata cylindrica (L.) Raeusch.,imperata cylindrica l raeusch,normalized_variant,KNApSAcK World,,,
al_65bbcca6872cc7312898cf2b,pl_47e62909fd3f88302046864b,Tagetes erecta L.,tagetes erecta l,normalized_variant,KNApSAcK World,,,
al_90918f6f343b65f8ca050cdc,pl_489d455cbddec280a5d5b833,Annona muricata L.,annona muricata l,normalized_variant,KNApSAcK World,,,
al_c11b80ab9dfba61049c1b6a6,pl_492ddd508a0e1617b87ad31b,Kalanchoe daigremontiana Raym.-Hamet & H.Perrier,kalanchoe daigremontiana raym hamet h perrier,normalized_variant,KNApSAcK World,,,
al_ad44a8369914fe2967450f2d,pl_4b2c832eb53705c14a0f576b,Malus domestica (Suckow) Borkh.,malus domestica suckow borkh,normalized_variant,KNApSAcK World,,,
al_826e6611de401eaafba32d00,pl_4b4a1d0f582c74525c0f2723,Lantana trifolia L.,lantana trifolia l,normalized_variant,KNApSAcK World,,,
al_39ecb8f238908a457ee34ae9,pl_4d49b5cbd94dee8f59d3d67f,Iris domestica (L.) Goldblatt & Mabb.,iris domestica l goldblatt mabb,normalized_variant,KNApSAcK World,,,
al_269cbad10da328e3a815e411,pl_4d49b5cbd94dee8f59d3d67f,Belamcanda chinensis (L.) DC.,belamcanda chinensis l dc,synonym_variant,KNApSAcK World,,,
al_5c4d5c2ac8cd1b72b097e09d,pl_4d49c8717990a95953536f3b,Gossypium herbaceum L.,gossypium herbaceum l,normalized_variant,KNApSAcK World,,,
al_69dc658b72fda23ba9c2b02e,pl_4e27ea7da6f493da1c52cbe4,Melochia corchorifolia L.,melochia corchorifolia l,normalized_variant,KNApSAcK World,,,
al_a17159cc6d73bedd97c552f4,pl_4eafc2e2dbaf3e5579f8109b,Centella asiatica (L.) Urb.,centella asiatica l urb,normalized_variant,KNApSAcK World,,,
al_d6e57f90438c369eaa52ab44,pl_4f1a087e41ef14961edfce43,"Clerodendrum serratum Spreng., 1825",clerodendrum serratum spreng 1825,normalized_variant,KNApSAcK World,,,
al_81e41a18177cab2eac887f2a,pl_4fe5557be96cfcb90be927df,Nigella sativa L.,nigella sativa l,normalized_variant,KNApSAcK World,,,
al_9623afcfafd260a93e67b52b,pl_506973418649a7f54876b299,Sesamum indicum L.,sesamum indicum l,normalized_variant,KNApSAcK World,,,
al_59b12cce0edc130464a91e2c,pl_51273cdce6960bc2858d86b0,Strychnos lucida R.Br.,strychnos lucida r br,normalized_variant,KNApSAcK World,,,
al_6e7f5650175dfb43bf646443,pl_5163509315c58d617ada75ad,Ixora chinensis Lam.,ixora chinensis lam,normalized_variant,KNApSAcK World,,,
al_2c8d7919f6e5a9481d18425b,pl_5194bf3532612a00c43953ad,Derris elliptica (Wall.) Benth.,derris elliptica wall benth,normalized_variant,KNApSAcK World,,,
al_a5caa259e7edd53b1cdd59d3,pl_525331a1365e9c14353fef37,Hura crepitans L.,hura crepitans l,normalized_variant,KNApSAcK World,,,
al_e8785da9a294c1c9bfa6ad0e,pl_535e091d9e2c7bac6449325d,Rauvolfia verticillata (Lour.) Baill.,rauvolfia verticillata lour baill,normalized_variant,KNApSAcK World,,,
al_6b9479ebbfac718a0a2d21e2,pl_5388097959a348f053235750,Santalum album L.,santalum album l,normalized_variant,KNApSAcK World,,,
al_4315c875a7d84b0558f5e09d,pl_539bc4b74fa9e0df05326b3a,Nicotiana tabacum L.,nicotiana tabacum l,normalized_variant,KNApSAcK World,,,
al_8b6fb820af7ef53c47adfd68,pl_566ae7dc8f109681a8106f3c,Plumeria rubra L.,plumeria rubra l,normalized_variant,KNApSAcK World,,,
al_106e2f814e2715f61b4c2bc5,pl_56956dacf14c9a441eba27fe,Croton tiglium L.,croton tiglium l,normalized_variant,KNApSAcK World,,,
al_b1f2a64ad96b6713df5887d7,pl_569764d8ad1ca0a939ee5794,Goniothalamus macrophyllus (Blume) Hook.f. & Thomson,goniothalamus macrophyllus blume hook f thomson,normalized_variant,KNApSAcK World,,,
al_7c1b858f5d9d3decb9f8df9f,pl_56df9876789161d3b94df9a2,"Equisetum debile Roxb. ex Wall., 1829",equisetum debile roxb ex wall 1829,normalized_variant,KNApSAcK World,,,
al_0fc31ff04ce2bb5c4e99b5f9,pl_5705e33a748fa17d7f9049be,Sandoricum koetjape (Burm.fil.) Merr.,sandoricum koetjape burm fil merr,normalized_variant,KNApSAcK World,,,
al_13cb7e1adeef2d04c4447175,pl_58205c2606e285a04667c1e3,Plumbago indica L.,plumbago indica l,normalized_variant,KNApSAcK World,,,
al_6eeb01b06323fcd43cab925c,pl_5843a4d4f9a22007cc1524c7,Rheum palmatum L.,rheum palmatum l,normalized_variant,KNApSAcK World,,,
al_a8617b5cc70c02beb4882383,pl_58c73f4e104a300e1a6461d5,Capsicum annuum L.,capsicum annuum l,normalized_variant,KNApSAcK World,,,
al_ff77d939e7d3cc8f9a4be35e,pl_59410b0e2eed0a9f7786a4dd,Entada phaseoloides (L.) Merr.,entada phaseoloides l merr,normalized_variant,KNApSAcK World,,,
al_2cd70d672935276d37d44f3f,pl_59410b0e2eed0a9f7786a4dd,Entada scandens (L.) Benth.,entada scandens l benth,synonym_variant,KNApSAcK World,,,
al_0498dd17964832023320dd14,pl_594184fb9067812c3cb248e4,Emilia sonchifolia (L.) DC. ex Wight,emilia sonchifolia l dc ex wight,normalized_variant,KNApSAcK World,,,
al_2974868441002b2584fcd1eb,pl_5946cdeedd2e724ad969de92,Ipomoea pes-caprae (L.) R.Br.,ipomoea pes caprae l r br,normalized_variant,KNApSAcK World,,,
al_98a33a0b5c89be44ced2881e,pl_5a0ebb93b405a5ba873b27c2,Elephantopus scaber L.,elephantopus scaber l,normalized_variant,KNApSAcK World,,,
al_b21a2bf6ac57d9df29cbe798,pl_5a150d5101e616a7d1472c24,Boesenbergia rotunda (L.) Mansf.,boesenbergia rotunda l mansf,normalized_variant,KNApSAcK World,,,
al_8541e3fa16dddb33b45b406f,pl_5a38d68eb7ede853d29b7ed5,Basella alba L.,basella alba l,normalized_variant,KNApSAcK World,,,
al_295a08a61149ca9ffabe4430,pl_5a38d68eb7ede853d29b7ed5,Basella rubra L.,basella rubra l,synonym_variant,KNApSAcK World,,,
al_14da2de62756f9fc2991505e,pl_5a5e0988d3bb57e310f717ef,Boesenbergia rotunda (L.) Mansf.,boesenbergia rotunda l mansf,normalized_variant,KNApSAcK World,,,
al_10364d7ee7b9388f9818aa7f,pl_5a5e0988d3bb57e310f717ef,Boesenbergia pandurata (Roxb.) Schltr.,boesenbergia pandurata roxb schltr,synonym_variant,KNApSAcK World,,,
al_a5072b821c48c96187704561,pl_5a76b48313031c48b3e647dc,Pongamia pinnata (L.) Pierre,pongamia pinnata l pierre,normalized_variant,KNApSAcK World,,,
al_96781d8eda669172842a8191,pl_5a86c707c7a02bb972e96808,Paederia foetida L.,paederia foetida l,normalized_variant,KNApSAcK World,,,
al_899785adbd8d5013c25b22f9,pl_5a86c707c7a02bb972e96808,Paederia scandens (Lour.) Merr.,paederia scandens lour merr,synonym_variant,KNApSAcK World,,,
al_2faf30a917cbc697292dad61,pl_5a9c8b35d40e3306710072ea,Cissampelos pareira L.,cissampelos pareira l,normalized_variant,KNApSAcK World,,,
al_81cb0b8ea157430116483a65,pl_5ae1dc783b3c5803d9d3292e,Dryobalanops aromatica C.F.Gaertn.,dryobalanops aromatica c f gaertn,normalized_variant,KNApSAcK World,,,
al_b8487257b0b5b4c37fd0cdb7,pl_5b3b4d3b1fbaaf637d8c9ad1,Musa × paradisiaca L.,musa paradisiaca l,normalized_variant,KNApSAcK World,,,
al_0bfb712c262555b17ea32671,pl_5b3b4d3b1fbaaf637d8c9ad1,Musa × sapientum L.,musa sapientum l,synonym_variant,KNApSAcK World,,,
al_eac6631afd6fc38d1a7b3c0b,pl_5b4eacf3f6041d6a869eb636,Vanilla planifolia Andrews,vanilla planifolia andrews,normalized_variant,KNApSAcK World,,,
al_0a8aa4340fd341a46bb2eb11,pl_5cbfc09a992e9c5daa336247,Trigonella foenum-graecum L.,trigonella foenum graecum l,normalized_variant,KNApSAcK World,,,
al_a5984d1872393e83a8c34f42,pl_5d88d255b62ab36c75b6dc6e,Sonchus arvensis L.,sonchus arvensis l,normalized_variant,KNApSAcK World,,,
